Experiment,Model,N_chains,retention: actual,retention: baseline,retention: dif,purity: actual,purity: baseline,purity: dif,purity_90: actual,purity_90: baseline,purity_90: dif,consistency: actual,consistency: baseline,consistency: dif,runtime,Accuracy_train,Precision_train,Recall_train,F1_train,Precision_weighted_train,Recall_weighted_train,F1_weighted_train,TPR_norm_train,FPR_norm_train,Support_train,Accuracy_test,Precision_test,Recall_test,F1_test,Precision_weighted_test,Recall_weighted_test,F1_weighted_test,TPR_norm_test,FPR_norm_test,Support_test,drop_nonbinders,single_epitopes,spike_in,annotate,min_clustsize,n_logos,pGen,cpus,Comment
20220328_153340_vdjdb,clustcr_alpha,21970,0.3870469323376038,0.3870469323376038,0.0,0.5536107221444289,0.44918983796759354,0.10442088417683532,0.08490566037735849,0.018867924528301886,0.0660377358490566,0.10292058411682337,0.04490898179635927,0.058011602320464095,4.984238147735596,0.7934595524956971,0.9425675675675675,0.37436997058820287,0.4682567620637331,0.8499113053575432,0.7934595524956971,0.8198206323505568,0.37436997058820287,0.995600414078675,1162.0,0.7646299483648882,0.3152999375425846,0.32916701007340454,0.2934421590027889,0.7459042623947116,0.7646299483648882,0.7547847801946906,0.32916701007340454,0.7601738970460873,1162.0,,,,,3,,False,1,
20220328_153340_vdjdb,gliph2_alpha,21970,0.5478014549668447,0.5478014549668447,0.0,0.5732125997768431,0.4589734786713587,0.11423912110548445,0.09733124018838304,0.03139717425431711,0.06593406593406594,0.046390867736674966,0.020255772036735044,0.026135095699939923,55.41693091392517,0.7383241758241758,0.9945054945054945,0.3519477544364659,0.44671432861703125,0.847803080598379,0.7383241758241758,0.7868986725181104,0.3519477544364659,0.9995027349577325,2548.0,0.7767857142857143,0.42680218602785813,0.36613665912212984,0.35780668592098014,0.7429055764468571,0.7767857142857143,0.7592898254858202,0.36613665912212984,0.7710206309021808,2548.0,,,,,3,,False,1,
20220328_153340_vdjdb,hamming_alpha,21970,0.4256743706946501,0.4256743706946501,0.0,0.6263772294298878,0.2799400774470731,0.3464371519828147,0.10348706411698538,0.006186726659167604,0.09730033745781778,0.3628932417535826,0.10085078719014104,0.26204245456344155,7.968847036361694,0.7478908886389202,0.9871323529411764,0.39935251390345805,0.5196720024305317,0.852827393583761,0.7478908886389202,0.7955280941309087,0.39935251390345805,0.9988046448087432,1778.0,0.7642013498312711,0.3442022263662562,0.38202282647471864,0.35162335347700424,0.7494060759623005,0.7642013498312711,0.7564876356332704,0.38202282647471864,0.770943872377482,1778.0,,,,,3,,False,1,
20220328_153340_vdjdb,ismart_alpha,21970,0.3409344404511092,0.3409344404511092,0.0,0.6311224489795918,0.25473670949861427,0.37638573948097753,0.08442776735459662,0.001876172607879925,0.0825515947467167,0.3993071302595112,0.1086734693877551,0.2906336608717561,26.35471773147583,0.7227954971857411,0.9861111111111112,0.3882021986893222,0.5118208137738967,0.8442872625537425,0.7227954971857411,0.7769386163723685,0.3882021986893222,0.9988439306358381,1066.0,0.7443714821763602,0.34438492910484564,0.3575507493834187,0.3400875027848812,0.7246842940237104,0.7443714821763602,0.7340094044844557,0.3575507493834187,0.7743653223238607,1066.0,,,,,3,,False,1,
20220328_153340_vdjdb,giana_alpha,21970,0.4863675796257281,0.4863675796257281,0.0,0.6131702495675809,0.27485380116959063,0.3383164483979903,0.07288888888888889,0.006222222222222222,0.06666666666666667,0.3638438820054832,0.10091543412521915,0.26292844788026404,10.253662347793579,0.7013333333333334,0.9921875,0.3590225867647096,0.47728060590816745,0.8391929862159131,0.7013333333333334,0.7616434279258009,0.3590225867647096,0.9994318181818181,1125.0,0.7413333333333334,0.35317024576116784,0.3368193848708028,0.3337985492359235,0.7084857572113872,0.7413333333333334,0.7241518628524791,0.3368193848708028,0.7713716792795471,1125.0,,,,,3,,False,1,
20220328_153340_vdjdb,length_alpha,21970,0.9998068628082147,0.9998068628082147,0.0,0.49624436654982473,0.49624436654982473,0.0,0.0,0.0,0.0,0.16602175991259616,0.15213729685437247,0.01388446305822369,0.2738969326019287,0.35294117647058826,0.5,0.2509191176470588,nan,0.5035142733564014,0.35294117647058826,0.3233353539094484,0.2509191176470588,0.75,17.0,0.4117647058823529,0.21875,0.25,nan,0.2884948096885813,0.4117647058823529,0.31666345311504335,0.25,0.7833333333333333,17.0,,,,,3,,False,1,
20220328_154828_vdjdb,hamming_paired,21970,0.7068663566640497,0.7068663566640497,0.0,0.6873832714127924,0.406993674063661,0.28038959734913144,0.11233480176211454,0.037444933920704845,0.07488986784140969,0.5247113163972287,0.21102520333366803,0.31368611306356065,10.50454306602478,0.7512848751835536,0.984375,0.42523845404712113,0.5442846582834414,0.8534601962984146,0.7512848751835536,0.7976852681131108,0.42523845404712113,0.9984702797202797,1362.0,0.7529368575624082,0.3264517168248828,0.3707578837152008,0.33446433119388896,0.741107628690461,0.7529368575624082,0.7464599303359826,0.3707578837152008,0.7753111180031427,1362.0,,,,,3,,False,1,
20220328_161513_vdjdb,tcrdist3_alpha,12083,1.0,1.0,0.0,0.6500868989489366,0.6279897376479351,0.022097161301001478,0.39,0.26,0.13,0.3922039228668377,0.4036249275842092,-0.011421004717371508,200.07237911224365,0.6694277108433735,0.7767857142857143,0.26622080188921404,0.2850311370650598,0.7842525415159372,0.6694277108433735,0.7065576646672349,0.26622080188921404,0.97568093385214,332.0,0.7243975903614457,0.19579297820823244,0.2720588235294118,nan,0.6895356280120886,0.7243975903614457,0.7061629899290328,0.2720588235294118,0.7357428480351172,332.0,,True,,,3,,False,1,
20220328_161909_vdjdb,tcrdist3_beta,12083,1.0,1.0,0.0,0.6553008358851279,0.627824215840437,0.02747662004469087,0.526,0.406,0.12,0.4638748655135314,0.4623024083422991,0.0015724571712323332,197.9450581073761,0.6819105691056911,0.7867647058823529,0.2706873845986749,0.29359261643578566,0.7704921827484118,0.6819105691056911,0.7160866445517953,0.2706873845986749,0.9605978260869565,246.0,0.7113821138211383,0.185422615648201,0.3021102497846684,nan,0.6806576922434685,0.7113821138211383,0.6947658811622301,0.3021102497846684,0.7328034226131812,246.0,,True,,,3,,False,1,
20220328_162304_vdjdb,tcrdist3_paired,12083,1.0,1.0,0.0,0.6317967392203923,0.6327071091616321,-0.0009103699412398303,0.434,0.42,0.014000000000000012,0.46404038732102953,0.4637093437060333,0.00033104361499625146,366.92520570755005,0.676829268292683,0.75,0.26817604448915106,nan,0.7452142453187512,0.676829268292683,0.6850653758965357,0.26817604448915106,1.0,246.0,0.8028455284552846,0.26631355932203393,0.24861004601226994,nan,0.7309914236534322,0.8028455284552846,0.7650395731539343,0.24861004601226994,0.7524925310415096,246.0,,True,,,3,,False,1,
